"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"1",2013924.8,500,1077833.7,460,823857.2,212
"2",665662.6,500,642561.5,456,330972.8,208
"3",839093.9,496,1627407.7,456,1219113.5,208
"4",718766.1,504,732717.9,452,463830.1,208
"5",1286584.2,504,852368.5,448,696757,204
"6",1293937.5,496,1162845.9,456,866363.7,212
"7",1347280.3,496,1397510.6,448,1244306.4,200
"8",1068307.5,500,1015658.7,448,703229.1,204
"9",980828.5,492,755910.1,456,513572.6,208
"10",987819.7,492,812440.7,456,537663.1,212
"11",1395559.7,492,771688.7,444,444551.6,200
"12",1354961.1,500,1237932.2,456,928609.8,208
"13",1599927.9,504,642688.2,452,412296.9,200
"14",1192535.5,504,844151.1,452,509125.3,208
"15",1302791.4,500,1039994.1,456,810743.8,208
"16",1187817.4,496,1121381.5,452,833291.1,212
"17",659141.7,492,902082.2,460,630337.5,212
"18",708795.5,500,1238089,452,1112917.6,204
"19",948479.4,504,1450061.2,452,1022706.2,208
"20",1368070.4,500,697433.6,456,510500.8,212
"21",844301.5,496,1115989.3,456,734751.7,212
"22",626780.8,500,936322.8,456,610003.3,212
"23",1174513.3,500,1224628.7,456,881151.6,208
"24",960111.9,496,639954,456,332990.6,208
"25",659905.3,496,668228.8,452,392688.3,204
"26",1021317.1,496,661777,456,437889.8,208
"27",964491.1,500,1236069.5,456,991177.1,208
"28",657349.2,504,695131.2,452,380488.8,204
"29",1073121.7,496,948783.1,456,589867.5,208
"30",728423,500,743716.3,452,521948.8,204
"31",1442447,496,643390.5,452,299107.5,204
"32",1033113.8,500,657199.2,456,453408.4,208
"33",862080.1,496,691500,456,518526,208
"34",1397235.7,500,683318.8,460,430211.3,212
"35",1211607.7,500,681909.2,452,415793.4,208
"36",1047020.5,500,1290635.9,452,1041534.8,204
"37",1394296.1,500,649208,456,532899.5,204
"38",898461.3,496,724342.9,456,492216,208
"39",875411,496,690712.6,456,458856.2,208
"40",1158935.5,500,1211350.4,452,945483.4,204
"41",1011059.6,496,1328138.2,456,1157480,208
"42",1001727.7,500,654495.3,456,371049.7,204
"43",1016728.6,500,1412141.6,456,1142775.2,204
"44",1411720.3,504,773058.9,456,469450.9,208
"45",1043235.8,496,1421048.2,452,1065638.7,200
"46",668792.9,500,1176902.5,452,769452.7,204
"47",1151549.3,496,683661.7,456,379556.6,212
"48",1191462.4,500,1065548.1,456,732613.5,204
"49",1062757.1,496,650537.4,456,392413.4,208
"50",691839.2,500,1484327.3,452,1108502.7,208
"51",666854.4,500,1736369.8,456,1379171.3,208
"52",704819.2,496,670432.1,456,488665.9,208
"53",1103625.1,496,639161.2,460,424273.5,212
"54",1269068.1,500,1767692,448,1535898.2,200
"55",1237648.6,504,649309.4,456,352040.9,208
"56",972768.8,500,876103.7,452,544918,204
"57",780058.1,496,690107.9,456,552044.2,204
"58",742239.7,500,1135649.3,452,912939.4,204
"59",1252530.9,496,669966.1,460,474160,212
"60",876877.6,500,675318.7,452,389555.6,208
"61",859361.9,500,1261935.8,456,871349.4,208
"62",669211,504,1352678.3,456,1021475.8,208
"63",1215680.7,500,652216.5,456,370537.2,208
"64",686881.5,500,664127.4,456,476681.4,208
"65",1241434.2,496,1243011.3,452,982125.7,208
"66",715829.2,500,642634.3,456,336505.1,208
"67",648273,500,1517167.3,456,1245980.6,208
"68",1205456.1,500,857438.3,452,664066.7,204
"69",633960,500,1807978.5,452,1420901,208
"70",710983.4,500,650987.8,452,387654.1,208
"71",1268560.8,496,997253.7,452,964091,208
"72",1066020.4,496,791633.2,456,463619.6,208
"73",658835,500,1221220.5,452,883367.1,204
"74",656525.6,500,1152795.3,452,871818.8,208
"75",1203165.3,496,641827.7,456,365541.3,208
"76",1024346.2,500,683811,452,416798.7,204
"77",1061721,496,1388589.3,460,1073409.9,208
"78",1201576.7,500,784967.9,456,430465.2,212
"79",661211.8,500,662234.2,452,428544.7,208
"80",722881.2,500,750852.1,448,657070.8,204
"81",1022529,496,831826.9,456,563602.5,200
"82",735431.2,500,728848.8,452,583554,204
"83",635621.4,504,674062,456,448060.6,212
"84",643640.4,504,1071110.7,460,803285.9,208
"85",1200758.4,496,966457.6,460,776568.6,212
"86",816604.3,496,1514565.3,456,1199056.5,208
"87",707664,500,1029589.7,456,699905,208
"88",1317104.5,496,676509.2,456,443466,208
"89",667195.8,500,872368.7,460,648783.4,212
"90",690435.1,504,721375.4,456,561770.5,208
"91",1634709.7,492,646457.7,452,335498.2,204
"92",723443.2,500,807623.8,452,495168.1,208
"93",902057.3,504,1260203.9,452,1076281.4,208
"94",1140366,500,1547591.6,456,1226569.7,212
"95",914316.1,500,778276.5,452,438604.3,208
"96",828993.3,504,1028961.1,452,633396.3,204
"97",1230095.8,492,1178597.2,452,915149.4,208
"98",1014374.8,500,998292.6,452,784939.7,208
"99",1084488.2,500,1062455.5,452,761877.5,208
"100",1091004.6,496,665044.5,460,364444.1,208
