"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"1",59045.4,260,59126,260,51846.9,252
"2",59796.3,260,56550.3,256,42945.7,248
"3",59832.2,264,60813.2,264,54129.3,256
"4",62112.1,264,56246.6,260,51032.8,252
"5",61626.9,264,63829.3,264,55530.7,256
"6",57099.3,256,55875.6,264,51909.7,256
"7",67455.2,264,62638.3,260,54007.7,252
"8",54461.9,260,60072.5,260,50539,252
"9",61408.3,260,60653.4,264,51567.3,256
"10",58292.2,256,56341.3,260,48057.1,252
"11",60599.5,260,54236.1,260,48594,252
"12",60077.1,252,56592.4,260,47978.8,252
"13",62494,260,57736.3,260,47507.4,252
"14",55225.9,256,58084.7,252,49074.8,244
"15",56775.9,260,57334.6,264,53128.5,256
"16",54249.5,260,57823.7,260,51799.1,252
"17",51209.3,264,64359.7,260,56499.4,252
"18",58917.1,260,57954.8,260,48724.8,252
"19",62322.5,260,63604.7,264,56760.4,256
"20",62859.1,260,57266.4,260,52190.2,252
"21",57773.5,260,60420.3,260,52280.6,252
"22",64835,264,51808.8,260,44699.5,252
"23",56699.1,256,58383.2,256,48011.7,248
"24",60480.8,264,62460.5,256,58460.4,248
"25",55260.5,264,60993.6,260,53864,252
"26",48004.7,252,54239.3,264,44814,256
"27",51799.1,260,51277.7,260,47426.5,252
"28",53510.7,260,54604.8,252,41628.9,244
"29",62717.9,260,60998.4,264,51181.3,256
"30",59270.4,260,57803.1,260,53902.4,252
"31",60618.3,260,59876.4,260,47408.5,252
"32",54889.2,264,57809.9,260,45038.6,252
"33",56712.2,256,60173.3,264,53659.9,256
"34",61147.3,256,63030.9,264,57001.9,256
"35",60425.2,256,58155.9,256,48889.9,248
"36",61555.4,252,56720.3,264,52059.1,256
"37",70764,260,61220.6,260,54229.1,252
"38",58788.3,264,52027.3,264,43812,256
"39",58626.6,260,57231.3,256,48781,248
"40",59601.8,260,54534.4,256,50062.2,248
"41",60314.8,264,63166.3,264,55310.9,256
"42",71167,260,60145,256,52490.4,248
"43",60363.1,256,59486,252,55919.5,244
"44",55156.9,260,52630.6,260,45410.1,252
"45",60893.1,260,64239,260,59574.5,252
"46",62716.9,260,60454.3,256,50642.9,248
"47",66227.9,264,57356.9,264,51232.8,256
"48",63565.8,260,56077.4,264,51939,256
"49",57994.6,260,65175.4,256,57930.4,248
"50",59738.3,260,64045.1,264,60691.5,256
"51",54473.6,260,55245.8,260,51497.3,252
"52",62302.8,260,58301.7,260,50756.4,252
"53",60497.2,256,54740,264,46944.2,256
"54",53463.7,260,61758.9,264,50506.6,256
"55",55631.3,260,58886.1,256,52774.7,248
"56",63197.3,260,60426.5,256,49765,248
"57",66382.9,260,62711.4,264,53209.3,256
"58",57742,256,58416.1,256,53665.1,248
"59",68037.4,264,62002.5,260,58926.7,252
"60",64648.7,264,60970.9,260,49213.9,252
"61",56745.1,256,54691.8,256,49496.4,248
"62",68383.4,260,56415,256,50110.9,248
"63",59822.5,260,49967.4,260,43433.9,252
"64",56982.2,260,54114,256,44312.3,248
"65",61793,256,62230.4,256,51240.9,248
"66",60431,260,51132.1,260,43186.2,252
"67",57287.5,260,59794.3,264,55351.2,256
"68",66374.3,256,57721.3,260,51296.2,252
"69",61050.4,260,63228.9,260,58268.1,252
"70",61953.7,264,54774.6,264,49117.6,256
"71",70241.8,256,59339.7,260,56418.4,252
"72",68021.2,260,59052,264,52649.4,256
"73",51157.4,264,59024.6,260,51203.9,252
"74",58623.8,260,59075.5,264,51379.5,256
"75",59391.9,260,61469.2,264,56032.2,256
"76",68004.9,260,61457.4,264,52221.5,256
"77",56534.5,252,54919.9,264,48916.8,256
"78",61382,264,49848.2,260,44421.4,252
"79",63162.9,264,60642.4,264,52535.7,256
"80",53457.6,260,62776.6,260,54959.2,252
"81",57930.3,256,55819.4,260,42988.2,252
"82",61852.6,256,59404.1,256,54616.9,248
"83",58156.6,260,60256.7,264,57237.3,256
"84",62115.3,260,57144.2,256,50885.5,248
"85",59665.9,256,61059,260,54897.7,252
"86",64077.5,256,50087.5,264,46439.6,256
"87",62523.5,252,56930.4,260,51641,252
"88",61434.9,264,54741.4,260,48519.5,252
"89",62481.3,260,56189.4,264,52165,256
"90",62181.4,260,62827.9,264,55430.6,256
"91",63367.8,264,62145.8,260,56703.9,252
"92",63641.6,248,61084.1,260,55639.4,252
"93",56485.2,260,59652.9,256,57100.6,248
"94",54069,260,51470,260,46256.3,252
"95",64307.4,260,59117.4,264,51750.8,256
"96",58770.2,256,62165,252,56428.5,244
"97",51492.5,264,62005.1,260,55158.4,252
"98",64146.6,264,58199.4,260,48950.5,252
"99",51790.2,260,50636.8,256,44286.7,248
"100",65503.9,260,53710.3,252,49053.5,244
"101",60243.8,264,58167.9,264,52783.2,256
"102",59916.4,264,57935.5,260,51717,252
"103",59530.6,256,64778.6,264,61604.8,256
"104",63457.2,256,53183.5,260,46582.3,252
"105",49098.2,260,58956.6,256,53616.6,248
"106",56230.2,256,59596.5,264,54657.9,256
"107",63802.1,260,61528.2,264,59899.1,256
"108",60390.2,252,52027.7,264,42956.7,256
"109",52707.9,260,63337.3,256,57508.7,248
"110",52703.2,260,54679.9,260,46773.9,252
"111",59146.2,256,50330.3,260,43518,252
"112",53648,260,47763.3,256,44065,248
"113",54499.6,260,62897.3,260,54192.7,252
"114",65443.2,264,58186.4,264,52904.6,256
"115",65569.3,264,58577.8,260,50450.7,252
"116",67513.4,256,58600.4,252,49725.1,244
"117",53442,264,52612.6,260,48536.9,252
"118",64546.3,260,53970.1,256,49751.1,248
"119",59485.1,264,62907.6,260,53741,252
"120",63125.1,252,58257.3,256,53917.5,248
"121",59750,256,42895,256,36498.2,248
"122",59813.1,260,61310.5,256,53554.8,248
"123",61022.5,264,56637.5,260,45509.6,252
"124",56048.6,252,62604.1,264,58887.3,256
"125",58661,256,64075.1,256,55862.8,248
"126",59479.4,256,61207,260,55015.3,252
"127",54775.3,260,58364.7,264,43971.2,256
"128",56804.6,260,61385.2,264,49397,256
"129",64704.4,264,54514.7,260,50295.9,252
"130",55366.5,264,63163.4,260,55268.8,252
"131",58393.3,256,56849,256,54091.7,248
"132",53643.8,256,63510.7,260,56736.1,252
"133",57692.3,260,62544.9,260,58947,252
"134",52614,264,60979,252,46266.8,244
"135",57009.2,260,58485.1,260,51300.4,252
"136",65262,260,62484.1,264,60063.6,256
"137",53219.3,256,51725,264,41899.3,256
"138",63290.4,260,54507.5,264,49009.1,256
"139",50928,260,65012,260,55933.1,252
"140",60616.6,256,59856.6,260,54004.6,252
"141",57260.2,264,59946.8,264,54367.7,256
"142",60412.2,260,53928.3,248,46570,240
"143",60585.2,252,63143.8,260,55513.5,252
"144",52921,264,59086.9,260,45646.8,252
"145",53681.1,256,57470.7,256,50333.6,248
"146",57028.2,252,66311.5,264,62066.5,256
"147",61181.6,260,65312.4,260,56105.8,252
"148",60272.5,256,61475.2,260,52958.9,252
"149",64095.7,260,60324.2,256,54486.1,248
"150",51636.3,256,63481.9,260,57201.7,252
"151",57130.2,264,51519,260,44577.6,252
"152",67425.8,260,61117.9,260,52389.2,252
"153",65078.4,264,63957.8,264,60721.4,256
"154",54335.4,260,62351,260,54591,252
"155",59367.7,260,63924.8,260,53305.8,252
"156",62142.8,248,57138.5,260,49503.7,252
"157",70384,260,50823.7,260,41577.6,252
"158",63014.8,260,59724.2,256,53877.5,248
"159",69896.2,260,56750.6,264,52528.1,256
"160",58633,264,56928.1,260,45196.7,252
"161",65936.4,264,51173,260,44899.4,252
"162",58673.7,264,54754.8,260,48913.9,252
"163",55106.5,264,59262.9,264,49731.5,256
"164",58612.3,264,62785.6,260,56841.6,252
"165",59501.2,260,58913,260,48873.1,252
"166",55398,264,61951.6,260,55063,252
"167",54966.9,252,51799.9,264,44631.4,256
"168",58378.6,256,62168.8,260,55834,252
"169",59416.4,260,65710.6,260,57663.6,252
"170",51382.5,260,61446,264,54757.3,256
"171",61709,264,60993.9,260,57325.7,252
"172",59378.3,260,57657.2,260,51947.7,252
"173",57099.5,260,63317.5,260,58457.5,252
"174",65451.6,260,57529.1,260,49707,252
"175",62573.9,260,58959.8,264,52312.2,256
"176",61331.6,248,58335.3,260,51030.9,252
"177",59212,260,60851.6,256,55343.2,248
"178",58005.9,256,52954.7,252,44840.8,244
"179",59118.6,260,61783.4,260,46612.4,252
