"";"gbifID";"datasetKey";"kingdom";"phylum";"class";"order";"family";"genus";"species";"infraspecificEpithet";"taxonRank";"scientificName";"verbatimScientificName";"verbatimScientificNameAuthorship";"countryCode";"locality";"stateProvince";"occurrenceStatus";"individualCount";"publishingOrgKey";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"elevation";"elevationAccuracy";"depth";"depthAccuracy";"eventDate";"day";"month";"year";"taxonKey";"speciesKey";"basisOfRecord";"institutionCode";"collectionCode";"catalogNumber";"recordNumber";"identifiedBy";"dateIdentified";"license";"rightsHolder";"recordedBy";"typeStatus";"establishmentMeans";"lastInterpreted";"mediaType";"issue"
"1";2603488604;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"VE";NA;"Distrito Capital";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";10,45888;-66,859706;31189;NA;NA;NA;NA;2020-04-10 18:10:00;10;4;2020;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"41929682";NA;NA;NA;"CC_BY_NC_4_0";"Alexis Deniz";"Alexis Deniz";NA;NA;2020-04-22 02:25:04;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"2";2603441535;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"VE";NA;"Distrito Capital";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";10,566722;-66,983041;31189;NA;NA;NA;NA;2020-04-11 18:17:00;11;4;2020;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"41967680";NA;NA;NA;"CC_BY_NC_4_0";"Alexis Deniz";"Alexis Deniz";NA;NA;2020-04-22 02:24:58;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"3";2603329439;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"VE";NA;"Distrito Capital";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";10,538411;-66,94741;31189;NA;NA;NA;NA;2020-04-11 16:50:18;11;4;2020;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"42060625";NA;NA;NA;"CC_BY_NC_4_0";"Alexis Deniz";"Alexis Deniz";NA;NA;2020-04-22 02:25:02;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"4";2603323164;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"PE";NA;"Madre de Dios";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";-12,72155;-69,074529;31069;NA;NA;NA;NA;2018-06-17 14:46:00;17;6;2018;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"41934785";NA;NA;2020-04-11 20:04:32;"CC_BY_NC_4_0";"jessebugz";"jessebugz";NA;NA;2020-04-22 02:25:01;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"5";2599785435;"f946666e-67dc-4848-9fa8-2162f3559e33";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna (Linnaeus, 1758)";NA;"GF";NA;NA;"Présent";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";5,60934;-53,95034;5000;NA;NA;NA;NA;2010-01-01 00:00:00;1;1;2010;5959231;5959231;"HUMAN_OBSERVATION";"UMS PatriNat";NA;NA;NA;"Non renseigné (Non renseigné)";NA;"CC_BY_NC_4_0";NA;"Biotope (Non renseigné)";NA;NA;2020-04-20 14:28:02;NA;"GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH"
"6";2599419366;"f946666e-67dc-4848-9fa8-2162f3559e33";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna (Linnaeus, 1758)";NA;"GF";NA;NA;"Présent";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";4,21051;-51,82625;5000;NA;NA;NA;NA;2001-01-01 00:00:00;1;1;2001;5959231;5959231;"HUMAN_OBSERVATION";"UMS PatriNat";NA;NA;NA;"Non renseigné (Non renseigné)";NA;"CC_BY_NC_4_0";NA;"Biotope (Non renseigné)";NA;NA;2020-04-20 14:27:52;NA;"GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH"
"7";2599308606;"f946666e-67dc-4848-9fa8-2162f3559e33";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna (Linnaeus, 1758)";NA;"GF";NA;NA;"Présent";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";4,59457;-53,41397;5000;NA;NA;NA;NA;2009-01-01 00:00:00;1;1;2009;5959231;5959231;"HUMAN_OBSERVATION";"UMS PatriNat";NA;NA;NA;"Non renseigné (Non renseigné)";NA;"CC_BY_NC_4_0";NA;"Biotope (Non renseigné)";NA;NA;2020-04-20 14:27:45;NA;"GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH"
"8";2599079982;"f946666e-67dc-4848-9fa8-2162f3559e33";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna (Linnaeus, 1758)";NA;"GF";NA;NA;"Présent";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";4,58764;-53,30211;5000;NA;NA;NA;NA;1999-01-01 00:00:00;1;1;1999;5959231;5959231;"HUMAN_OBSERVATION";"UMS PatriNat";NA;NA;NA;"Non renseigné (Non renseigné)";NA;"CC_BY_NC_4_0";NA;"Biotope (Non renseigné)";NA;NA;2020-04-20 14:28:08;NA;"GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH"
"9";2599074836;"f946666e-67dc-4848-9fa8-2162f3559e33";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna (Linnaeus, 1758)";NA;"GF";NA;NA;"Présent";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";4,55545;-53,31341;5000;NA;NA;NA;NA;1994-01-01 00:00:00;1;1;1994;5959231;5959231;"HUMAN_OBSERVATION";"UMS PatriNat";NA;NA;NA;"Non renseigné (Non renseigné)";NA;"CC_BY_NC_4_0";NA;"BIOTOPE (Non renseigné)";NA;NA;2020-04-20 14:28:02;NA;"GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH"
"10";2597890645;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";NA;"Mato Grosso do Sul";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";-20,022078;-55,808379;30508;NA;NA;NA;NA;2015-08-23 18:11:00;23;8;2015;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"41567804";NA;NA;2020-04-06 23:19:26;"CC_BY_NC_4_0";"Pablo Preliasco";"Pablo Preliasco";NA;NA;2020-04-22 02:22:52;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
