"";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"species"
"1";-1,05638;-91,05446;31448;"Arctocephalus galapagoensis"
"2";-0,392087;-90,475829;31451;"Arctocephalus galapagoensis"
"3";-1,104634;-91,183997;31448;"Arctocephalus galapagoensis"
"4";0,2029;-89,896113;31451;"Arctocephalus galapagoensis"
"5";-0,434113;-90,013434;31451;"Arctocephalus galapagoensis"
"6";-0,409566;-90,149852;31451;"Arctocephalus galapagoensis"
"7";0,261793;-89,850106;31451;"Arctocephalus galapagoensis"
"8";-0,305625;-90,517985;31451;"Arctocephalus galapagoensis"
"9";-0,253442;-90,595232;31451;"Arctocephalus galapagoensis"
"10";0,26889;-89,854949;31451;"Arctocephalus galapagoensis"
"11";1,293838;-91,907375;31447;"Arctocephalus galapagoensis"
"12";-0,199787;-90,824272;250;"Arctocephalus galapagoensis"
"13";0,302566;-89,982582;31451;"Arctocephalus galapagoensis"
"14";-0,56815;-90,769597;31451;"Arctocephalus galapagoensis"
"15";-0,596518;-90,615854;31451;"Arctocephalus galapagoensis"
"16";0,224102;-89,969211;31451;"Arctocephalus galapagoensis"
"17";-0,231817;-90,817619;31451;"Arctocephalus galapagoensis"
"18";-0,153118;-91,497912;31451;"Arctocephalus galapagoensis"
"19";-0,204554;-90,485003;31451;"Arctocephalus galapagoensis"
"20";0,254855;-89,955106;31451;"Arctocephalus galapagoensis"
"21";-1,356001;-89,641265;31447;"Arctocephalus galapagoensis"
"22";-0,381663;-90,556944;31451;"Arctocephalus galapagoensis"
"23";-0,303438;-90,848301;31451;"Arctocephalus galapagoensis"
"24";-0,835625;-90,985375;31449;"Arctocephalus galapagoensis"
"25";0,215657;-89,923773;31451;"Arctocephalus galapagoensis"
"26";0,377596;-89,959182;31451;"Arctocephalus galapagoensis"
"27";0,220798;-89,872214;31451;"Arctocephalus galapagoensis"
"28";-0,384264;-90,806836;31451;"Arctocephalus galapagoensis"
"29";0,210852;-89,935991;31451;"Arctocephalus galapagoensis"
"30";0,363888;-89,848764;31451;"Arctocephalus galapagoensis"
"31";-0,335181;-90,956308;31451;"Arctocephalus galapagoensis"
"32";-0,206903;-90,819438;31451;"Arctocephalus galapagoensis"
"33";-1,320305;-90,53169;31447;"Arctocephalus galapagoensis"
"34";-1,227971;-90,480321;31447;"Arctocephalus galapagoensis"
"35";-0,16805;-91,500848;31451;"Arctocephalus galapagoensis"
"36";-0,193686;-91,474765;31451;"Arctocephalus galapagoensis"
"37";-0,323361;-90,943275;31451;"Arctocephalus galapagoensis"
"38";-0,956742;-91,136632;47093;"Arctocephalus galapagoensis"
"39";-0,367281;-90,338756;31451;"Arctocephalus galapagoensis"
"40";0,205376;-89,924522;31451;"Arctocephalus galapagoensis"
"41";-0,354857;-90,713909;31451;"Arctocephalus galapagoensis"
"42";-1,266388;-89,769087;31447;"Arctocephalus galapagoensis"
"43";-0,20704;-90,606582;31451;"Arctocephalus galapagoensis"
"44";-0,222268;-90,647033;31451;"Arctocephalus galapagoensis"
"45";-0,466295;-90,347397;31451;"Arctocephalus galapagoensis"
"46";-0,306047;-90,845349;31451;"Arctocephalus galapagoensis"
"47";-0,311518;-90,858341;31451;"Arctocephalus galapagoensis"
"48";-0,2956;-90,981934;31451;"Arctocephalus galapagoensis"
"49";-0,255315;-90,949815;31451;"Arctocephalus galapagoensis"
"50";-0,214995;-90,694262;31451;"Arctocephalus galapagoensis"
"51";-0,368163;-90,883074;31451;"Arctocephalus galapagoensis"
"52";-0,265579;-90,633946;31451;"Arctocephalus galapagoensis"
"53";0,378875;-89,940455;31451;"Arctocephalus galapagoensis"
"54";-0,38535;-90,762701;31451;"Arctocephalus galapagoensis"
"55";0,379028;-89,81981;31451;"Arctocephalus galapagoensis"
"56";-0,272437;-90,663143;31451;"Arctocephalus galapagoensis"
"57";-1,078991;-91,167469;31448;"Arctocephalus galapagoensis"
"58";-0,329517;-91,748294;31451;"Arctocephalus galapagoensis"
"59";-0,321076;-91,606314;31451;"Arctocephalus galapagoensis"
"60";-0,202813;-90,712355;31451;"Arctocephalus galapagoensis"
"61";-0,239476;-90,680252;31451;"Arctocephalus galapagoensis"
"62";-0,818441;-89,580408;31449;"Arctocephalus galapagoensis"
"63";-0,200095;-90,759561;31451;"Arctocephalus galapagoensis"
"64";-0,647478;-91,06081;31450;"Arctocephalus galapagoensis"
"65";-0,291587;-90,920699;31451;"Arctocephalus galapagoensis"
"66";-0,893452;-90,967033;31449;"Arctocephalus galapagoensis"
"67";-0,288462;-90,679996;31451;"Arctocephalus galapagoensis"
"68";-0,198712;-91,513649;31451;"Arctocephalus galapagoensis"
"69";-0,365309;-90,920714;31451;"Arctocephalus galapagoensis"
"70";-0,167286;-91,573092;31451;"Arctocephalus galapagoensis"
"71";-0,56699;-90,143;100;"Arctocephalus galapagoensis"
"72";-0,2;-90,84972;37615;"Arctocephalus galapagoensis"
"73";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"74";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"75";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"76";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"77";-0,5;-91,06639;122615;"Arctocephalus galapagoensis"
"78";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"79";-0,95;-91,46667;7615;"Arctocephalus galapagoensis"
"80";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"81";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"82";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"83";1,38306;-91,81639;4615;"Arctocephalus galapagoensis"
"84";0,33306;-89,96667;7116;"Arctocephalus galapagoensis"
"85";-0,5;-91,06639;122615;"Arctocephalus galapagoensis"
"86";-0,5;-91,06639;122615;"Arctocephalus galapagoensis"
"87";0;-90,5;301;"Arctocephalus galapagoensis"
"88";0;-90,5;301;"Arctocephalus galapagoensis"
"89";0;-90,5;301;"Arctocephalus galapagoensis"
