"";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"species"
"1";-0,117;-80,067;5257;"Leopardus wiedii"
"2";0,867;-79,85;3057;"Leopardus wiedii"
"3";0,30768;-78,457;9115;"Leopardus wiedii"
"4";0,09048;-79;22115;"Leopardus wiedii"
"5";0,9833;-79,7;3615;"Leopardus wiedii"
"6";0,09048;-79;22115;"Leopardus wiedii"
"7";0,39638;-79,47747;14615;"Leopardus wiedii"
"8";0,333;-79,467;11657;"Leopardus wiedii"
"9";-0,26233;-79,71041;28115;"Leopardus wiedii"
"10";0,04977;-79,56108;7615;"Leopardus wiedii"
"11";-0,25;-79,15;6115;"Leopardus wiedii"
"12";0,4667;-79,3833;12615;"Leopardus wiedii"
"13";0,04977;-79,56108;7615;"Leopardus wiedii"
"14";-0,117;-80,067;5257;"Leopardus wiedii"
"15";0,04977;-79,56108;7615;"Leopardus wiedii"
"16";0,95;-78,883;4857;"Leopardus wiedii"
"17";0,95;-78,883;4857;"Leopardus wiedii"
"18";1,067;-79,417;1757;"Leopardus wiedii"
"19";-0,25;-79,15;6115;"Leopardus wiedii"
"20";0,4667;-79,3833;12615;"Leopardus wiedii"
"21";0,25;-79,8333;19615;"Leopardus wiedii"
"22";0,45;-79,4;5365;"Leopardus wiedii"
"23";0,04977;-79,56108;7615;"Leopardus wiedii"
"24";0,333;-79,467;11657;"Leopardus wiedii"
"25";0,70455;-79,24207;84115;"Leopardus wiedii"
"26";0,39638;-79,47747;14615;"Leopardus wiedii"
"27";1,067;-79,417;1757;"Leopardus wiedii"
"28";0,04977;-79,56108;7615;"Leopardus wiedii"
"29";-0,25;-79,15;6115;"Leopardus wiedii"
"30";0,867;-79,85;3057;"Leopardus wiedii"
"31";1,067;-79,417;1757;"Leopardus wiedii"
"32";0,22522;-79,69368;21615;"Leopardus wiedii"
"33";0,30768;-78,457;93815;"Leopardus wiedii"
"34";0,04977;-79,56108;7615;"Leopardus wiedii"
"35";0,333;-79,467;11657;"Leopardus wiedii"
"36";9,355278;-79,550278;301;"Leopardus wiedii"
