gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2580270248	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39375985	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.5481	-74.152879	31350.0						2018-12-31T00:00:00	31	12	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39375985			2020-02-29T23:25:39	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:47:29.109Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2579332041	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39634867	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.528824	-73.812233	31350.0						2018-07-24T04:18:27	24	7	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39634867			2020-03-07T03:26:55	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:32.776Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2579319029	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39634997	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.404428	-73.931888	31350.0						2018-08-19T21:16:17	19	8	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39634997			2020-03-07T03:33:57	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:11.169Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2579218917	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39634931	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.458678	-73.992906	31350.0						2018-12-07T01:07:07	7	12	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39634931			2020-03-07T03:30:39	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:07.772Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2563429035	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1105472	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.779302	-80.767497	31444.0						2014-10-12T00:00:00	12	10	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1105472			2014-12-01T14:29:53	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:36.184Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2518146018	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36534379	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.528304	-74.137945	31350.0						2016-12-01T00:00:00	1	12	2016	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	36534379			2019-12-10T17:37:11	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:11.243Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2517995094	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36590649	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.241158	-74.083128	31356.0						2017-02-15T00:00:00	15	2	2017	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	36590649			2019-12-12T16:41:26	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:47:16.316Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2512662303	aeae59af-613f-444a-ae46-5a6de1374ed8	ABC:1792019:MA841	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	(Schinz, 1821)	CO	El Palmar	Casanare		1	c803f6f5-2c6a-4b41-8c15-768d48ef1c8c	5.52125	-72.38553	11.0		1008.0				2019-09-17T00:00:00	17	9	2019	2434950	2434950	MACHINE_OBSERVATION	Asociación de Becarios de Casanare (ABC)						CC_BY_4_0		Antonio Quiñones			2020-02-10T09:36:04.746Z		
2512600221	7c0c1d99-15c8-4e2f-a4ca-ef5594ee93b1	CVC:PANTHERA:MELANICOS:105:2017:0125	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	(Schinz, 1821)	CO	Arenillo	Valle del Cauca	Presente	1	4eb145f4-b1b0-4b94-8edc-e814fd77a4e8					2216.0	180.0			2019-07-23T00:00:00	23	7	2019	2434950	2434950	MACHINE_OBSERVATION	Fundación Panthera Colombia (Panthera)				Jorge Lizarazo		CC_BY_NC_4_0	Corporación Autónoma Regional del Valle del Cauca | Fundación Panthera Colombia	Diana Stasiukynas | Jorge Lizarazo			2020-02-10T09:36:07.101Z		
2512549575	7c0c1d99-15c8-4e2f-a4ca-ef5594ee93b1	CVC:PANTHERA:MELANICOS:105:2017:0323	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	(Schinz, 1821)	CO	Arenillo	Valle del Cauca	Presente	1	4eb145f4-b1b0-4b94-8edc-e814fd77a4e8					2216.0	180.0			2019-07-23T00:00:00	23	7	2019	2434950	2434950	MACHINE_OBSERVATION	Fundación Panthera Colombia (Panthera)				Jorge Lizarazo		CC_BY_NC_4_0	Corporación Autónoma Regional del Valle del Cauca | Fundación Panthera Colombia	Diana Stasiukynas | Jorge Lizarazo			2020-02-10T09:36:07.455Z		
