gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2580270248	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39375985	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.5481	-74.152879	31350.0						2018-12-31T00:00:00	31	12	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39375985			2020-02-29T23:25:39	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:47:29.109Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2579332041	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39634867	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.528824	-73.812233	31350.0						2018-07-24T04:18:27	24	7	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39634867			2020-03-07T03:26:55	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:32.776Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2579319029	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39634997	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.404428	-73.931888	31350.0						2018-08-19T21:16:17	19	8	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39634997			2020-03-07T03:33:57	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:11.169Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2579218917	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39634931	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.458678	-73.992906	31350.0						2018-12-07T01:07:07	7	12	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	39634931			2020-03-07T03:30:39	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:07.772Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2563429035	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1105472	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.779302	-80.767497	31444.0						2014-10-12T00:00:00	12	10	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1105472			2014-12-01T14:29:53	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:36.184Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2518146018	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36534379	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.528304	-74.137945	31350.0						2016-12-01T00:00:00	1	12	2016	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	36534379			2019-12-10T17:37:11	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:48:11.243Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2517995094	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36590649	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Santander			28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.241158	-74.083128	31356.0						2017-02-15T00:00:00	15	2	2017	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	36590649			2019-12-12T16:41:26	CC_BY_NC_4_0	Laura Siabatto	Laura Siabatto			2020-05-15T09:47:16.316Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2265794205	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24474652	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Orellana			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.564673	-76.086795	31451.0						1999-09-06T00:08:00	6	9	1999	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	24474652			2019-05-03T23:14:54	CC_BY_NC_4_0	Gonçalo Ferrão da Costa	Gonçalo Ferrão da Costa			2020-05-15T09:47:47.153Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1978423515	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/18777133	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CO		Quindío			28eb1a3f-1c15-4a95-931a-4af90ecb574d	4.760972	-75.482055	31398.0						2008-07-31T00:00:00	31	7	2008	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	18777133			2018-12-02T16:07:27	CC_BY_NC_4_0	Oscar H. Marín	Oscar H. Marín			2020-05-15T09:47:59.119Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1944380939	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/18172031	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Imbabura			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.280178	-78.660357	31451.0						2018-05-01T00:00:00	1	5	2018	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	18172031			2018-11-06T16:37:04	CC_BY_NC_4_0	alexwcranston	alexwcranston			2020-05-15T09:47:50.707Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
