"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",2580270248,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/39375985","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO",NA,"Santander",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.5481,-74.152879,31350,NA,NA,NA,NA,NA,2018-12-31 00:00:00,31,12,2018,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","39375985",NA,NA,2020-02-29 23:25:39,"CC_BY_NC_4_0","Laura Siabatto","Laura Siabatto",NA,NA,2020-05-15 09:47:29,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"2",2579332041,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/39634867","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO",NA,"Santander",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.528824,-73.812233,31350,NA,NA,NA,NA,NA,2018-07-24 04:18:27,24,7,2018,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","39634867",NA,NA,2020-03-07 03:26:55,"CC_BY_NC_4_0","Laura Siabatto","Laura Siabatto",NA,NA,2020-05-15 09:48:32,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"3",2579319029,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/39634997","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO",NA,"Santander",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.404428,-73.931888,31350,NA,NA,NA,NA,NA,2018-08-19 21:16:17,19,8,2018,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","39634997",NA,NA,2020-03-07 03:33:57,"CC_BY_NC_4_0","Laura Siabatto","Laura Siabatto",NA,NA,2020-05-15 09:48:11,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"4",2579218917,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/39634931","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO",NA,"Santander",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.458678,-73.992906,31350,NA,NA,NA,NA,NA,2018-12-07 01:07:07,7,12,2018,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","39634931",NA,NA,2020-03-07 03:30:39,"CC_BY_NC_4_0","Laura Siabatto","Laura Siabatto",NA,NA,2020-05-15 09:48:07,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"5",2563429035,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/1105472","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"EC",NA,"Manabi",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.779302,-80.767497,31444,NA,NA,NA,NA,NA,2014-10-12 00:00:00,12,10,2014,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","1105472",NA,NA,2014-12-01 14:29:53,"CC_BY_NC_4_0","Fauna of Manabi","Fauna of Manabi",NA,NA,2020-05-15 09:47:36,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"6",2518146018,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/36534379","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO",NA,"Santander",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.528304,-74.137945,31350,NA,NA,NA,NA,NA,2016-12-01 00:00:00,1,12,2016,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","36534379",NA,NA,2019-12-10 17:37:11,"CC_BY_NC_4_0","Laura Siabatto","Laura Siabatto",NA,NA,2020-05-15 09:48:11,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"7",2517995094,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/36590649","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO",NA,"Santander",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.241158,-74.083128,31356,NA,NA,NA,NA,NA,2017-02-15 00:00:00,15,2,2017,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","36590649",NA,NA,2019-12-12 16:41:26,"CC_BY_NC_4_0","Laura Siabatto","Laura Siabatto",NA,NA,2020-05-15 09:47:16,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"8",2512662303,"aeae59af-613f-444a-ae46-5a6de1374ed8","ABC:1792019:MA841","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii","(Schinz, 1821)","CO","El Palmar","Casanare",NA,1,"c803f6f5-2c6a-4b41-8c15-768d48ef1c8c",5.52125,-72.38553,11,NA,1008,NA,NA,NA,2019-09-17 00:00:00,17,9,2019,2434950,2434950,"MACHINE_OBSERVATION","Asociación de Becarios de Casanare (ABC)",NA,NA,NA,NA,NA,"CC_BY_4_0",NA,"Antonio Quiñones",NA,NA,2020-02-10 09:36:04,NA,NA
"9",2422214476,"1a58ec89-e5d4-4b2b-9ed3-1c8b5f70f4fc","MHNUCA:Mammal:823","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii","(Schinz, 1821)","CO","Corregimiento de Doradal","Antioquia",NA,NA,"f7f9717e-9e50-4a00-a30f-7b134390a566",5.884558,-74.700891,NA,NA,200,NA,NA,NA,2009-01-20 00:00:00,20,1,2009,2434950,2434950,"PRESERVED_SPECIMEN","Universidad de Caldas (UCALDAS)","MHNUCa","MHNUCA:Mammal:823","154 NR",NA,NA,"CC_BY_NC_4_0","Universidad de Caldas","Nestor Roncancio Duque",NA,NA,2020-02-10 11:19:25,NA,"COORDINATE_ROUNDED"
"10",2412541354,"f1586f46-712b-4d28-a89b-36a302166d4b","Corpoboyaca:Mga2018:015","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO","Vereda Sirguaza, PNR Siscunsí - Ocetá","Boyacá",NA,NA,"03fefd3c-2809-4966-810d-a6c2205ab899",5.674028,-72.673528,NA,NA,2890,NA,NA,NA,2018-06-06 00:00:00,6,6,2018,2434950,2434950,"MACHINE_OBSERVATION","Corpoboyacá",NA,"Mga2018:015",NA,NA,NA,"CC_BY_NC_4_0",NA,"Harold López | Claudia Rivera",NA,NA,2020-02-10 10:31:30,NA,"COORDINATE_ROUNDED"
"11",2273364260,"a18d5ab7-894a-4649-a4dd-7335086fe910","IIAP_CiénagaBeté_2008_Mamíferos_23","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"CO","Cabecera municipal del municipio del Medio Atrato","Chocó",NA,1,"e1050db2-9faf-4d72-b860-295debaf9d2a",6.016472,-76.779083,NA,NA,56,0,NA,NA,2008-12-06 00:00:00,6,12,2008,2434950,2434950,"HUMAN_OBSERVATION","IIAP",NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,"Moya R.J.",NA,NA,2020-02-10 10:35:33,NA,"COORDINATE_ROUNDED"
"12",2265794205,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/24474652","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii",NA,"EC",NA,"Orellana",NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.564673,-76.086795,31451,NA,NA,NA,NA,NA,1999-09-06 00:08:00,6,9,1999,2434950,2434950,"HUMAN_OBSERVATION","iNaturalist","Observations","24474652",NA,NA,2019-05-03 23:14:54,"CC_BY_NC_4_0","Gonçalo Ferrão da Costa","Gonçalo Ferrão da Costa",NA,NA,2020-05-15 09:47:47,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"13",2237831426,"f1ab0312-f0f8-4a86-a0e4-4e3907ab7b2b","5473218366275584","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii",NA,"SPECIES","Leopardus wiedii (Schinz, 1821)","Leopardus wiedii","(Schinz, 1821)","CO","Parque Nacional Natural Selva de Florencia",NA,NA,1,"ab13adb9-ce23-444d-87c9-ce41f03ef2b3",5.505028,-75.070306,NA,NA,1719,NA,NA,NA,2017-09-16 00:00:00,16,9,2017,2434950,2434950,"MACHINE_OBSERVATION","Parques Nacionales Naturales de Colombia",NA,NA,NA,NA,NA,"CC_BY_NC_4_0","Parques Nacionales Naturales de Colombia",NA,NA,NA,2020-02-10 10:38:47,NA,"COORDINATE_ROUNDED"
