"";"rand_EOO";"rand_AOO";"rand_EOO";"rand_AOO";"rand_EOO";"rand_AOO"
"1";2016326,3;500;1077888,2;460;824448,8;212
"2";665926,5;500;642946,8;456;330998,7;208
"3";839391,5;496;1628715,2;456;1219607,2;208
"4";718868;504;733434,5;452;464521,3;208
"5";1287220,8;504;852728,2;448;697077,5;204
"6";1294869,2;496;1162900,1;456;866504,6;212
"7";1350149,9;496;1397768,9;448;1244921,9;200
"8";1068721,3;500;1016036,9;448;703741,3;204
"9";981290,9;492;756330,7;456;513589,8;208
"10";987854,1;492;813147,8;456;537836,4;212
