"";"Mean_EOO";"Mean_AOO";"Zero_EOO";"Zero_AOO";"NA_EOO";"NA_AOO"
"1";2016326,3;500;1077888,2;460;824448,8;212
"2";665926,5;500;642946,8;456;330998,7;208
"3";839391,5;496;1628715,2;456;1219607,2;208
"4";718868;504;733434,5;452;464521,3;208
"5";1287220,8;504;852728,2;448;697077,5;204
"6";1294869,2;496;1162900,1;456;866504,6;212
"7";1350149,9;496;1397768,9;448;1244921,9;200
"8";1068721,3;500;1016036,9;448;703741,3;204
"9";981290,9;492;756330,7;456;513589,8;208
"10";987854,1;492;813147,8;456;537836,4;212
"11";1395567,5;492;771745,2;444;444562,4;200
"12";1355226,7;500;1238345,8;456;928819,8;208
"13";1600712,3;504;644465,7;452;414065,7;200
"14";1192633,2;504;845232;452;509133,8;208
"15";1303767,7;500;1040161;456;810744,1;208
"16";1188603,6;496;1121436,6;452;833557;212
"17";659141,8;492;902463,7;460;630363,3;212
"18";708904,6;500;1241096,6;452;1115918,2;204
"19";949504,8;504;1454447;452;1023406,4;208
"20";1368166,8;500;697453,4;456;510512,9;212
"21";844336,2;496;1116340,3;456;735289,5;212
"22";628266,3;500;936380,7;456;610077,4;212
"23";1176268,4;500;1226259,4;456;882333,6;208
"24";962235,4;496;640011,3;456;333144,8;208
"25";661809,6;496;668312,6;452;392734,4;204
"26";1021384,6;496;661832,8;456;437890;208
"27";964530;500;1236127,3;456;991182,3;208
"28";661707;504;695287,4;452;381296,4;204
"29";1073443,3;496;951480,6;456;590208;208
"30";728479,2;500;744848,3;452;521957;204
"31";1443053,3;496;643446,5;452;299117,4;204
"32";1033358,6;500;657261,1;456;453700,1;208
"33";862336,6;496;691653,1;456;518641,4;208
"34";1399399,7;500;683372,1;460;430370,5;212
"35";1211840,4;500;681962;452;415795,4;208
"36";1049420,3;500;1293178,5;452;1043453,4;204
"37";1394396,3;500;649543,1;456;533403,3;204
"38";898595;496;724379,5;456;492136,1;208
"39";875866;496;691125;456;459257,6;208
"40";1159266,2;500;1211580,9;452;945818,5;204
"41";1011627,9;496;1329164,8;456;1160404,7;208
"42";1001737,2;500;654610,1;456;371252,9;204
"43";1017095,3;500;1412450,3;456;1143031,3;204
"44";1412059,2;504;773347,9;456;469458,5;208
"45";1046055,7;496;1421228,1;452;1066283,7;200
"46";668861,4;500;1177447,4;452;770257,2;204
"47";1152144,6;496;683724,9;456;379590,3;212
"48";1193829,3;500;1066010,3;456;732766;204
"49";1064123,2;496;651171,1;456;392413,9;208
"50";691882,8;500;1484384,5;452;1109094,4;208
"51";666857,3;500;1737314,5;456;1379738,9;208
"52";704873,8;496;670451,2;456;488666,3;208
"53";1104022,5;496;639488,2;460;424796,9;212
"54";1269936,9;500;1768091,8;448;1535904,9;200
"55";1238323;504;649362,2;456;352040,9;208
"56";974734,3;500;876158,1;452;544919;204
"57";780484,9;496;690169,4;456;554404,3;204
"58";742294,4;500;1135906,9;452;913131,3;204
"59";1253216,8;496;670233,1;460;474406,4;212
"60";876920,1;500;675535,2;452;389572,5;208
"61";860878,3;500;1262356,5;456;871986;208
"62";669216,4;504;1353044,3;456;1022018,3;208
"63";1215702,3;500;652376,3;456;370694,6;208
"64";687474,9;500;664734;456;477265,2;208
"65";1242450,6;496;1243638,7;452;982440,7;208
"66";716250,4;500;642689;456;336509,5;208
"67";648592,5;500;1517221,8;456;1245985,9;208
"68";1205981,5;500;857393,7;452;663981,3;204
"69";634206,7;500;1810104,2;452;1421205,9;208
"70";711828,2;500;651352,7;452;387830,2;208
"71";1268568,8;496;998342,8;452;965211,2;208
"72";1066735,6;496;792016,4;456;463630,3;208
"73";659122,1;500;1221628,3;452;883370,7;204
"74";656533,3;500;1153574,4;452;872549,2;208
"75";1203676,9;496;642462;456;365549,3;208
"76";1025720;500;684174,1;452;418888,6;204
"77";1062788,8;496;1389796,2;460;1074887;208
"78";1201798;500;785025,5;456;430543,2;212
"79";661247,7;500;662288,9;452;428546,6;208
"80";722971;500;750941,9;448;657084,7;204
"81";1025792,5;496;832165,4;456;563653,2;200
"82";735482;500;732066,7;452;586746,5;204
"83";636202,5;504;674268,4;456;448232,8;212
"84";643923,2;504;1071485,3;460;803291,1;208
"85";1200967,3;496;967272,9;460;777251;212
"86";817777,9;496;1514821,7;456;1199259,1;208
"87";707696,7;500;1029645,4;456;700021,7;208
"88";1319018;496;676725,1;456;443618,4;208
"89";667312,3;500;872647,4;460;649012,4;212
"90";691207,6;504;723180,6;456;563429,6;208
"91";1635887,6;492;648227,7;452;335498,2;204
"92";723463;500;808485,4;452;495198,9;208
"93";902842,5;504;1260259,9;452;1076928,5;208
"94";1142882,4;500;1547651,3;456;1227014,4;212
"95";914468,8;500;778332;452;438643;208
"96";829502,7;504;1031336,8;452;633396,3;204
"97";1232822,1;492;1179102,3;452;915226,4;208
"98";1014740,4;500;998842,4;452;786414,6;208
"99";1086434,2;500;1063746,2;452;762663,4;208
"100";1091069,5;496;665102,1;460;364449,3;208
