gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2818648371	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/53099915	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.07745	-78.787121	31451.0						2011-04-16T08:32:00	16	4	2011	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	53099915		Eric DeFonso	2020-07-14T22:32:07	CC_BY_NC_4_0	Eric DeFonso	Eric DeFonso			2020-07-28T09:13:57.579Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2814144460	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/51211446	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		CO		Cundinamarca			28eb1a3f-1c15-4a95-931a-4af90ecb574d	4.632634	-73.851749	31398.0						2020-06-25T07:22:47	25	6	2020	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	51211446		juandiegocastillo	2020-06-28T11:42:25	CC_BY_NC_4_0	juandiegocastillo	juandiegocastillo			2020-07-28T09:14:18.728Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2802600218	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/49672975	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		CO		Boyacá			28eb1a3f-1c15-4a95-931a-4af90ecb574d	5.807583	-73.558517	31368.0						2020-01-30T08:00:58	30	1	2020	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	49672975		Awad	2020-06-15T02:08:40	CC_BY_NC_4_0	Awad	Awad			2020-07-28T09:14:28.806Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2641525691	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/48546645	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.155496	-78.660751	31451.0						2019-04-19T09:57:00	19	4	2019	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	48546645		Holger Beck	2020-06-05T15:40:07	CC_BY_NC_4_0	Holger Beck	Holger Beck			2020-07-28T09:14:26.191Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2641513834	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/48660817	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.142135	-78.759578	31451.0						2019-12-13T00:00:00	13	12	2019	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	48660817		olliedav	2020-06-06T15:42:22	CC_BY_NC_4_0	olliedav	olliedav			2020-07-28T09:14:25.153Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2634373795	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46801959	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Imbabura			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.5198	-78.011002	31451.0						2019-10-21T00:00:00	21	10	2019	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	46801959		Ricardo Benavides Vasquez	2020-05-22T02:58:35	CC_BY_NC_4_0	Ricardo Benavides Vasquez	Ricardo Benavides Vasquez			2020-07-28T09:14:25.422Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2634359770	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46779191	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Imbabura			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.259439	-78.109857	68218.0						2011-11-30T15:55:00	30	11	2011	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	46779191		Andres Laguna	2020-05-21T22:40:12	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-07-28T09:13:25.445Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2634273946	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46905601	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Imbabura			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.294624	-77.885385	31451.0						2020-03-13T17:40:00	13	3	2020	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	46905601		Juan E. Yèpez C	2020-05-22T23:37:03	CC_BY_NC_4_0	Juan E. Yèpez C	Juan E. Yèpez C			2020-07-28T09:13:28.018Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2634254966	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46905603	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Imbabura			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.237492	-77.86968	31451.0						2020-03-13T17:41:00	13	3	2020	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	46905603		Juan E. Yèpez C	2020-05-22T23:37:03	CC_BY_NC_4_0	Juan E. Yèpez C	Juan E. Yèpez C			2020-07-28T09:14:40.686Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2634231784	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46779176	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Imbabura			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.369862	-78.015969	68218.0						2012-03-14T13:51:00	14	3	2012	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	46779176		Andres Laguna	2020-05-21T22:40:05	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-07-28T09:14:25.453Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
