gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2619965831	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/45081966	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.176692	-78.653424	31451.0						2011-12-02T11:28:00	2	12	2011	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	45081966			2020-05-06T16:38:10	CC_BY_NC_4_0	aeleon	aeleon			2020-05-15T09:47:48.758Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2611352038	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/43556433	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		CO		Cundinamarca			28eb1a3f-1c15-4a95-931a-4af90ecb574d	4.532654	-73.712918	31403.0						2019-11-03T13:47:00	3	11	2019	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	43556433			2020-04-26T06:49:11	CC_BY_NC_4_0	Samadhy del Mar	Samadhy del Mar			2020-05-15T09:48:44.746Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2611317752	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/44299923	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.410794	-78.224321	31451.0						2019-03-25T02:20:00	25	3	2019	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	44299923			2020-04-29T21:15:12	CC_BY_NC_4_0	aeleon	aeleon			2020-05-15T09:48:34.546Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2611254111	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/44231592	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Morona Santiago			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.771837	-78.327711	31650.0						2019-01-12T09:17:00	12	1	2019	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	44231592			2020-04-29T07:49:50	CC_BY_NC_4_0	ekmcmurchie	ekmcmurchie			2020-05-15T09:47:30.567Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2609349831	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42566614	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.077421	-78.669452	31451.0						2008-03-01T09:20:00	1	3	2008	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	42566614			2020-04-19T13:52:32	CC_BY_NC_4_0	osoandino	osoandino			2020-05-15T09:48:23.978Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2609217202	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42568480	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.148432	-78.724879	31451.0						2008-03-06T09:36:00	6	3	2008	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	42568480			2020-04-19T14:15:42	CC_BY_NC_4_0	osoandino	osoandino			2020-05-15T09:47:23.871Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2609208904	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42567797	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.055154	-78.756176	31451.0						2008-03-06T08:08:00	6	3	2008	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	42567797			2020-04-19T14:07:48	CC_BY_NC_4_0	osoandino	osoandino			2020-05-15T09:48:44.193Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2609178996	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42574409	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Pichincha			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.169719	-78.732552	31451.0						2008-03-06T15:40:00	6	3	2008	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	42574409			2020-04-19T15:26:21	CC_BY_NC_4_0	osoandino	osoandino			2020-05-15T09:48:21.903Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2609147550	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42415620	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Morona Santiago			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-2.113576	-78.189043	31441.0						2015-09-26T11:17:00	26	9	2015	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	42415620			2020-04-17T20:30:17	CC_BY_NC_4_0	jorgebrito	jorgebrito			2020-05-15T09:48:22.254Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2609140573	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42415616	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		EC		Morona Santiago			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-2.033984	-78.191808	31441.0						2015-09-10T09:00:00	10	9	2015	2433401	2433401	HUMAN_OBSERVATION	iNaturalist	Observations	42415616			2020-04-17T19:58:56	CC_BY_NC_4_0	jorgebrito	jorgebrito			2020-05-15T09:48:22.484Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
